Date,Median Sale Price,Average Sale Price,County
01/01/2001 12:00:00 AM,353616.10,580799.85,Fairfield
02/01/2001 12:00:00 AM,336517.38,586219.38,Fairfield
03/01/2001 12:00:00 AM,359436.94,556302.21,Fairfield
04/01/2001 12:00:00 AM,356526.52,554592.81,Fairfield
05/01/2001 12:00:00 AM,384139.14,551176.79,Fairfield
06/01/2001 12:00:00 AM,407458.88,618947.41,Fairfield
07/01/2001 12:00:00 AM,414734.94,627927.91,Fairfield
08/01/2001 12:00:00 AM,428559.43,655806.31,Fairfield
09/01/2001 12:00:00 AM,375444.26,550445.12,Fairfield
10/01/2001 12:00:00 AM,356526.52,514604.33,Fairfield
11/01/2001 12:00:00 AM,375444.26,514363.67,Fairfield
12/01/2001 12:00:00 AM,371078.63,568711.92,Fairfield
01/01/2002 12:00:00 AM,386735.76,568840.77,Fairfield
02/01/2002 12:00:00 AM,356656.31,542821.18,Fairfield
03/01/2002 12:00:00 AM,396762.24,614523.11,Fairfield
04/01/2002 12:00:00 AM,401059.30,573328.15,Fairfield
05/01/2002 12:00:00 AM,429706.40,665528.08,Fairfield
06/01/2002 12:00:00 AM,502613.25,722578.25,Fairfield
07/01/2002 12:00:00 AM,479838.81,744133.23,Fairfield
08/01/2002 12:00:00 AM,485568.23,676454.30,Fairfield
09/01/2002 12:00:00 AM,415382.85,625612.61,Fairfield
10/01/2002 12:00:00 AM,436868.17,599448.89,Fairfield
11/01/2002 12:00:00 AM,415382.85,609160.63,Fairfield
12/01/2002 12:00:00 AM,429706.40,585343.57,Fairfield
01/01/2003 12:00:00 AM,396950.62,611544.36,Fairfield
02/01/2003 12:00:00 AM,401501.21,554152.61,Fairfield
03/01/2003 12:00:00 AM,406051.79,553302.21,Fairfield
04/01/2003 12:00:00 AM,433285.26,593634.70,Fairfield
05/01/2003 12:00:00 AM,455058.04,647832.91,Fairfield
06/01/2003 12:00:00 AM,489362.41,677231.96,Fairfield
07/01/2003 12:00:00 AM,497063.39,719125.86,Fairfield
08/01/2003 12:00:00 AM,499863.75,754215.38,Fairfield
09/01/2003 12:00:00 AM,469059.82,668154.69,Fairfield
10/01/2003 12:00:00 AM,448057.14,653946.30,Fairfield
11/01/2003 12:00:00 AM,441056.25,663421.18,Fairfield
12/01/2003 12:00:00 AM,476060.71,675422.20,Fairfield
01/01/2004 12:00:00 AM,463691.41,715855.35,Fairfield
02/01/2004 12:00:00 AM,448007.73,702141.03,Fairfield
03/01/2004 12:00:00 AM,456872.42,673975.71,Fairfield
04/01/2004 12:00:00 AM,500513.96,789674.48,Fairfield
05/01/2004 12:00:00 AM,506651.06,792617.52,Fairfield
06/01/2004 12:00:00 AM,538700.31,817063.17,Fairfield
07/01/2004 12:00:00 AM,585069.46,832130.81,Fairfield
08/01/2004 12:00:00 AM,579614.26,862908.33,Fairfield
09/01/2004 12:00:00 AM,544496.46,799913.44,Fairfield
10/01/2004 12:00:00 AM,501877.76,751130.95,Fairfield
11/01/2004 12:00:00 AM,511424.35,754781.14,Fairfield
12/01/2004 12:00:00 AM,512788.15,749179.62,Fairfield
01/01/2005 12:00:00 AM,501368.14,778237.47,Fairfield
02/01/2005 12:00:00 AM,488174.24,813272.22,Fairfield
03/01/2005 12:00:00 AM,527755.94,781030.78,Fairfield
04/01/2005 12:00:00 AM,542269.23,788239.45,Fairfield
05/01/2005 12:00:00 AM,567337.63,825315.10,Fairfield
06/01/2005 12:00:00 AM,587128.48,889828.37,Fairfield
07/01/2005 12:00:00 AM,620113.23,900247.20,Fairfield
08/01/2005 12:00:00 AM,606919.33,954109.05,Fairfield
09/01/2005 12:00:00 AM,560740.68,847053.38,Fairfield
10/01/2005 12:00:00 AM,540949.84,808793.37,Fairfield
11/01/2005 12:00:00 AM,537651.36,795890.86,Fairfield
12/01/2005 12:00:00 AM,564039.16,848598.34,Fairfield
01/01/2006 12:00:00 AM,524064.02,815447.15,Fairfield
02/01/2006 12:00:00 AM,520868.51,802847.89,Fairfield
03/01/2006 12:00:00 AM,524064.02,813540.43,Fairfield
04/01/2006 12:00:00 AM,511281.98,807561.01,Fairfield
05/01/2006 12:00:00 AM,543876.20,847414.86,Fairfield
06/01/2006 12:00:00 AM,594365.30,911511.63,Fairfield
07/01/2006 12:00:00 AM,587974.27,885218.99,Fairfield
08/01/2006 12:00:00 AM,568801.20,852058.04,Fairfield
09/01/2006 12:00:00 AM,511281.98,765203.22,Fairfield
10/01/2006 12:00:00 AM,524064.02,739187.29,Fairfield
11/01/2006 12:00:00 AM,521507.62,743964.41,Fairfield
12/01/2006 12:00:00 AM,504890.95,806494.67,Fairfield
01/01/2007 12:00:00 AM,509440.29,874900.20,Fairfield
02/01/2007 12:00:00 AM,516895.51,795945.57,Fairfield
03/01/2007 12:00:00 AM,515652.97,863972.62,Fairfield
04/01/2007 12:00:00 AM,548580.21,879307.19,Fairfield
05/01/2007 12:00:00 AM,563801.29,926074.80,Fairfield
06/01/2007 12:00:00 AM,615055.95,971478.30,Fairfield
07/01/2007 12:00:00 AM,621268.64,993363.80,Fairfield
08/01/2007 12:00:00 AM,590205.21,910326.93,Fairfield
09/01/2007 12:00:00 AM,497014.91,820251.49,Fairfield
10/01/2007 12:00:00 AM,509440.29,766224.44,Fairfield
11/01/2007 12:00:00 AM,531805.96,900081.09,Fairfield
12/01/2007 12:00:00 AM,497014.91,782885.93,Fairfield
01/01/2008 12:00:00 AM,436860.10,661313.81,Fairfield
02/01/2008 12:00:00 AM,472766.41,775076.77,Fairfield
03/01/2008 12:00:00 AM,454813.25,745179.68,Fairfield
04/01/2008 12:00:00 AM,466782.02,784410.90,Fairfield
05/01/2008 12:00:00 AM,497900.82,786750.77,Fairfield
06/01/2008 12:00:00 AM,517649.29,835700.19,Fairfield
07/01/2008 12:00:00 AM,604422.88,860641.47,Fairfield
08/01/2008 12:00:00 AM,524232.12,863778.96,Fairfield
09/01/2008 12:00:00 AM,460797.64,679371.98,Fairfield
10/01/2008 12:00:00 AM,460797.64,647283.04,Fairfield
11/01/2008 12:00:00 AM,412922.56,606418.66,Fairfield
12/01/2008 12:00:00 AM,386890.48,564013.86,Fairfield
01/01/2009 12:00:00 AM,371789.05,554555.17,Fairfield
02/01/2009 12:00:00 AM,360217.08,537469.70,Fairfield
03/01/2009 12:00:00 AM,379428.65,617197.74,Fairfield
04/01/2009 12:00:00 AM,402242.40,580596.69,Fairfield
05/01/2009 12:00:00 AM,408246.02,602036.85,Fairfield
06/01/2009 12:00:00 AM,468282.20,685305.14,Fairfield
07/01/2009 12:00:00 AM,497099.57,767082.20,Fairfield
08/01/2009 12:00:00 AM,480289.44,734754.14,Fairfield
09/01/2009 12:00:00 AM,414249.64,676236.38,Fairfield
10/01/2009 12:00:00 AM,420253.26,687997.61,Fairfield
11/01/2009 12:00:00 AM,402242.40,602951.24,Fairfield
12/01/2009 12:00:00 AM,432260.49,659499.81,Fairfield
01/01/2010 12:00:00 AM,443021.00,695475.53,Fairfield
02/01/2010 12:00:00 AM,354416.80,572760.05,Fairfield
03/01/2010 12:00:00 AM,413486.27,630760.49,Fairfield
04/01/2010 12:00:00 AM,431207.11,713561.03,Fairfield
05/01/2010 12:00:00 AM,433569.89,685060.50,Fairfield
06/01/2010 12:00:00 AM,482006.85,728953.91,Fairfield
07/01/2010 12:00:00 AM,561159.93,899520.57,Fairfield
08/01/2010 12:00:00 AM,502090.47,782841.70,Fairfield
09/01/2010 12:00:00 AM,437114.05,724275.91,Fairfield
10/01/2010 12:00:00 AM,434751.27,677804.61,Fairfield
11/01/2010 12:00:00 AM,437114.05,654679.96,Fairfield
12/01/2010 12:00:00 AM,419393.21,738354.77,Fairfield
01/01/2011 12:00:00 AM,420944.39,715342.98,Fairfield
02/01/2011 12:00:00 AM,372263.75,651289.17,Fairfield
03/01/2011 12:00:00 AM,398608.57,640285.53,Fairfield
04/01/2011 12:00:00 AM,429535.09,738134.92,Fairfield
05/01/2011 12:00:00 AM,453589.06,816088.11,Fairfield
06/01/2011 12:00:00 AM,509714.98,826985.14,Fairfield
07/01/2011 12:00:00 AM,480678.40,716473.10,Fairfield
08/01/2011 12:00:00 AM,477643.02,731599.91,Fairfield
